Index,Name,OVR,Position,Alternative positions,Age,Nation,League,Team
2123,Timothy Weah,74,RM,"RB, RW",24,United States,Serie A Enilive,Juventus
2124,Ashley Westwood,74,CDM,CM,34,England,MLS,Charlotte FC
2125,Ben Whiteman,74,CDM,CM,28,England,EFL Championship,Preston
2126,Morgan Whittaker,74,RW,"RM, CAM",23,England,EFL Championship,Plymouth Argyle
2127,Silvan Widmer,74,RB,RM,31,Switzerland,Bundesliga,1. FSV Mainz 05
2128,Christopher Wooh,74,CB,,22,Cameroon,Ligue 1 McDonald's,Stade Rennais FC
2129,Joe Worrall,74,CB,,27,England,EFL Championship,Burnley
2130,Roman Yaremchuk,74,ST,,28,Ukraine,Hellas Liga,Olympiacos FC
2131,Rıdvan Yılmaz,74,LB,,23,Turkey,Scottish Prem,Rangers
2132,Okay Yokuşlu,74,CDM,CM,30,Turkey,Trendyol Süper Lig,Trabzonspor
2133,Christos Zafeiris,74,CM,CDM,21,Norway,Česká Liga,Slavia Praha
2134,Arsen Zakharyan,74,LM,"RM, CM, LW",21,Russia,LALIGA EA SPORTS,Real Sociedad
2135,Zaldúa,74,RB,,32,Spain,LALIGA HYPERMOTION,Cádiz CF
2136,Fernando Zampedri,74,ST,,36,Argentina,Sudamericana,Uni. Católica
2137,Cédric Zesiger,74,CB,,26,Switzerland,Bundesliga,VfL Wolfsburg
2138,Fernando Zuqui,74,CM,CDM,32,Argentina,Sudamericana,Uni. Católica
2139,Max Aarons,73,RB,,24,England,Premier League,AFC Bournemouth
2140,Brenden Aaronson,73,CAM,"RM, CM",23,United States,EFL Championship,Leeds United
2141,Rodrigo Abascal,73,CB,,30,Uruguay,Liga Portugal,Boavista FC
2142,Himad Abdelli,73,CAM,"CM, LM",24,Algeria,Ligue 1 McDonald's,Angers SCO
2143,Oliver Abildgaard,73,CDM,CM,28,Denmark,Serie BKT,Pisa
2144,Ragnar Ache,73,ST,,26,Germany,Bundesliga 2,Kaiserslautern
2145,Elias Achouri,73,LW,LM,25,Tunisia,3F Superliga,F.C. København
2146,Aguado,73,CM,CDM,28,Spain,LALIGA EA SPORTS,RCD Espanyol
2147,Emre Akbaba,73,CAM,CM,31,Turkey,Trendyol Süper Lig,Eyüpspor
2148,Ilias,73,RW,"RM, LW",20,Morocco,LALIGA EA SPORTS,Villarreal CF
2149,Chadrac Akolo,73,ST,RW,29,Congo DR,CSSL,FC St. Gallen
2150,Jean-Daniel Akpa Akpro,73,CM,CDM,31,Côte d'Ivoire,Serie A Enilive,Latium
2151,Aleñá,73,CM,"RM, CAM",26,Spain,LALIGA EA SPORTS,Getafe CF
2152,Nani,73,LM,"LW, ST",37,Portugal,Liga Portugal,Estrela Amadora
2153,Agustín Almendra,73,CM,CDM,24,Argentina,Sudamericana,Racing Club
2154,Cristian Álvarez,73,GK,,38,Argentina,LALIGA HYPERMOTION,Real Zaragoza
2155,Ibrahim Amadou,73,CDM,"CM, CB",31,France,CSL,Shanghai Shenhua
2156,Selim Amallah,73,CAM,"CM, LM",27,Morocco,LALIGA EA SPORTS,R. Valladolid CF
2157,Lazare Amani,73,CM,CAM,26,Côte d'Ivoire,1A Pro League,R. Union St.-G.
2158,Zeki Amdouni,73,ST,CAM,23,Switzerland,Liga Portugal,SL Benfica
2159,Arbilla,73,CB,,37,Spain,LALIGA HYPERMOTION,SD Eibar
2160,Alex Arce,73,ST,,29,Paraguay,Libertadores,LDU Quito
2161,Areso,73,RB,RM,25,Spain,LALIGA EA SPORTS,CA Osasuna
2162,Joe Aribo,73,CM,,28,Nigeria,Premier League,Southampton
2163,Stuart Armstrong,73,CM,,32,Scotland,MLS,Whitecaps FC
2164,Adrián Arregui,73,CM,CDM,32,Argentina,Libertadores,Alianza Lima
2165,Noah Atubolu,73,GK,,22,Germany,Bundesliga,SC Freiburg
2166,Oğuz Aydın,73,RM,"LM, RW",23,Turkey,Trendyol Süper Lig,Fenerbahçe
2167,Tiago Tomás,73,ST,RW,22,Portugal,Bundesliga,VfL Wolfsburg
2168,Milan Badelj,73,CDM,CM,35,Croatia,Serie A Enilive,Genoa
2169,Mama Baldé,73,ST,LW,28,Guinea-Bissau,Ligue 1 McDonald's,Stade Brestois 29
2170,Carlos Baleba,73,CDM,CM,20,Cameroon,Premier League,Brighton
2171,Daniel Ballard,73,CB,,24,Northern Ireland,EFL Championship,Sunderland
2172,Leon Balogun,73,CB,RB,36,Nigeria,Scottish Prem,Rangers
2173,Mohamed Bamba,73,ST,,22,Côte d'Ivoire,Ligue 2 BKT,FC Lorient
2174,Valentín Barco,73,LB,LM,20,Argentina,LALIGA EA SPORTS,Sevilla FC
2175,Francesco Bardi,73,GK,,32,Italy,Serie BKT,Reggiana
2176,Pier Barrios,73,CB,RB,34,Argentina,Primera División,Godoy Cruz
2177,Jelle Bataille,73,RB,LB,25,Belgium,1A Pro League,Royal Antwerp FC
2178,Mohamed Bayo,73,ST,,26,Guinea,Ligue 1 McDonald's,LOSC Lille
2179,Gavin Bazunu,73,GK,,22,Republic of Ireland,Premier League,Southampton
2180,Thomas Beelen,73,CB,CDM,23,Holland,Eredivisie,Feyenoord
2181,Kevin Behrens,73,ST,,33,Germany,Bundesliga,VfL Wolfsburg
2182,Vid Belec,73,GK,,34,Slovenia,Liga Cyprus,APOEL FC
2183,Eliesse Ben Seghir,73,CAM,"ST, LM",19,Morocco,Ligue 1 McDonald's,AS Monaco
2184,Gastón Benavídez,73,RB,CB,28,Argentina,Libertadores,Talleres
2185,Dimitry Bertaud,73,GK,,26,Congo DR,Ligue 1 McDonald's,Montpellier
2186,Bruno Bianchi,73,CB,,35,Argentina,Primera División,Ind. Rivadavia
2187,Bigas,73,CB,,33,Spain,LALIGA HYPERMOTION,Elche CF
2188,Leonardo Bittencourt,73,CAM,CM,30,Germany,Bundesliga,SV Werder Bremen
2189,Fredrik Andre Bjørkan,73,LB,,26,Norway,Eliteserien,FK Bodø/Glimt
2190,Jayden Bogle,73,RB,,24,England,EFL Championship,Leeds United
2191,Darijan Bojanić,73,CM,CDM,29,Sweden,K League 1,Ulsan Hyundai
2192,Yoan Bonny,73,ST,,20,France,Serie A Enilive,Parma
2193,Ângelo,73,RM,"LM, RW",19,Brazil,Premier League,Chelsea
2194,Jan Bořil,73,CB,LB,33,Czech Republic,Česká Liga,Slavia Praha
2195,Darko Brašanac,73,CM,"CDM, CAM",32,Serbia,LALIGA EA SPORTS,CD Leganés
2196,Ben Brereton Díaz,73,LW,"ST, LM",25,Chile,Premier League,Southampton
2197,Armando Broja,73,ST,,23,Albania,Premier League,Everton
2198,Jorge Broun,73,GK,,38,Argentina,Libertadores,Rosario Central
2199,Facundo Buonanotte,73,RM,"CAM, RW",19,Argentina,Premier League,Leicester City
2200,Gianluca Busio,73,CM,CDM,22,United States,Serie A Enilive,Venezia
2201,Nahuel Bustos,73,ST,LM,26,Argentina,Libertadores,San Lorenzo
2202,Javier Cabrera,73,RM,"RW, LM",32,Uruguay,Libertadores,Peñarol
2203,Juan José Cáceres,73,RB,CB,24,Paraguay,Sudamericana,Lanús
2204,Mathieu Cafaro,73,LM,"RM, LW",27,France,Ligue 1 McDonald's,AS Saint-Étienne
2205,Jens-Lys Cajuste,73,CDM,CM,25,Sweden,Premier League,Ipswich
2206,Luca Caldirola,73,CB,,33,Italy,Serie A Enilive,Monza
2207,Calero,73,CB,"CDM, RB",29,Spain,LALIGA EA SPORTS,RCD Espanyol
2208,Alexander Callens,73,CB,,32,Peru,Hellas Liga,AEK Athens
2209,Dani Calvo,73,CB,,30,Spain,LALIGA HYPERMOTION,R. Oviedo
2210,Lamine Camara,73,CM,CAM,20,Senegal,Ligue 1 McDonald's,AS Monaco
2211,Mohamed Ali Camara,73,CB,,27,Guinea,CSSL,BSC Young Boys
2212,Sergio Camello,73,ST,,23,Spain,LALIGA EA SPORTS,Rayo Vallecano
2213,Jorman Campuzano,73,CDM,CM,28,Colombia,Liga Colombia,Atl. Nacional
2214,Alexis Canelo,73,LM,"ST, LW",32,Argentina,Primera División,Independiente
2215,Sergi Canós,73,LM,"RM, LW",27,Spain,LALIGA EA SPORTS,Valencia CF
2216,Nicolás Capaldo,73,CM,RB,26,Argentina,Ö. Bundesliga,RB Salzburg
2217,Gabriel Carabajal,73,CAM,"LM, CM",32,Argentina,Primera División,Newell's
2218,Edwin Cardona,73,CAM,"LW, LM",31,Colombia,Liga Colombia,Atl. Nacional
2219,Irvin Cardona,73,ST,"RM, LM",27,France,LALIGA EA SPORTS,RCD Espanyol
2220,Julián Carranza,73,ST,,24,Argentina,Eredivisie,Feyenoord
2221,Guido Carrillo,73,ST,,33,Argentina,Libertadores,Estudiantes
2222,Federico Carrizo,73,CAM,"LW, RW",33,Argentina,Libertadores,Cerro Porteño
2223,Wanderson,73,LB,LM,35,Brazil,K League 1,Pohang Steelers
2224,Cristian Cásseres Jr,73,CDM,CM,24,Venezuela,Ligue 1 McDonald's,Toulouse FC
2225,Santiago Castro,73,ST,RW,19,Argentina,Serie A Enilive,Bologna
2226,Federico Ceccherini,73,CB,,32,Italy,Serie BKT,Cremonese
2227,Adam Gnezda Čerin,73,CM,CDM,25,Slovenia,Hellas Liga,Panathinaikos
2228,Farouk Chafaï,73,CB,,34,Algeria,ROSHN Saudi League,Damac FC
2229,Diego Chará,73,CDM,CM,38,Colombia,MLS,Portland Timbers
2230,Tjaronn Chery,73,CAM,"RM, LM",36,Suriname,1A Pro League,Royal Antwerp FC
2231,Oliver Christensen,73,GK,,25,Denmark,Serie A Enilive,Fiorentina
2232,Alessandro Circati,73,CB,,20,Australia,Serie A Enilive,Parma
2233,Clerc,73,LB,CB,32,Spain,LALIGA HYPERMOTION,Elche CF
2234,Elias Cobbaut,73,CB,,26,Belgium,Serie A Enilive,Parma
2235,Lorenzo Colombo,73,ST,,22,Italy,Serie A Enilive,Empoli
2236,Nazareno Colombo,73,CB,,25,Argentina,Sudamericana,Racing Club
2237,Eray Cömert,73,CB,,26,Switzerland,LALIGA EA SPORTS,R. Valladolid CF
2238,Diego Conde,73,GK,,25,Spain,LALIGA EA SPORTS,Villarreal CF
2239,Jake Cooper,73,CB,,29,England,EFL Championship,Millwall
2240,Janner Corozo,73,RM,"RW, LM",29,Ecuador,Libertadores,Barcelona SC
2241,Claudio Corvalán,73,CB,LB,35,Argentina,Primera División,Unión
2242,Nicolas Cozza,73,LB,CB,25,France,Ligue 1 McDonald's,FC Nantes
2243,Maxime Crépeau,73,GK,,30,Canada,MLS,Portland Timbers
2244,Miguel Crespo,73,CM,CDM,28,Portugal,Trendyol Süper Lig,Başakşehir
2245,Pejiño,73,RM,"LM, RW",28,Spain,LALIGA EA SPORTS,UD Las Palmas
2246,Leonardo Lelo,73,LM,"LB, LW",24,Portugal,Liga Portugal,Casa Pia AC
2247,Danny da Costa,73,RB,RM,31,Germany,Bundesliga,1. FSV Mainz 05
2248,Abner Vinícius,73,LB,,24,Brazil,Ligue 1 McDonald's,OL
2249,Gustavo,73,ST,,30,Brazil,CSL,Shanghai Port FC
2250,Busanello,73,LB,,25,Brazil,Allsvenskan,Malmö FF
2251,Mikkel Damsgaard,73,CM,LW,24,Denmark,Premier League,Brentford
2252,Marcus Danielson,73,CB,,35,Sweden,Allsvenskan,Djurgårdens IF
2253,Josh Dasilva,73,CM,,25,England,Premier League,Brentford
2254,Paweł Dawidowicz,73,CB,,29,Poland,Serie A Enilive,Hellas Verona
2255,Zeca,73,ST,,27,Brazil,CSL,Shandong Taishan
2256,Miguel,73,ST,RM,25,Spain,LALIGA EA SPORTS,CD Leganés
2257,Jeffrey de Lange,73,GK,,26,Holland,Ligue 1 McDonald's,OM
2258,Cláudio Ramos,73,GK,,32,Portugal,Liga Portugal,FC Porto
2259,Thibault De Smet,73,LB,,26,Belgium,Ligue 1 McDonald's,Stade de Reims
2260,Felipe Silva,73,ST,,31,Brazil,CSL,Rongcheng FC
2261,Amar Dedić,73,RB,LB,22,Bosnia and Herzegovina,Ö. Bundesliga,RB Salzburg
2262,Diego Demme,73,CDM,CM,32,Germany,Bundesliga 2,Hertha BSC
2263,Jason Denayer,73,CB,,29,Belgium,ROSHN Saudi League,Al Fateh
2264,Fabio Depaoli,73,RB,"RM, CM",27,Italy,Serie BKT,Sampdoria
2265,Mikkel Desler,73,RB,,29,Denmark,MLS,Austin FC
2266,Cyriel Dessers,73,ST,,29,Nigeria,Scottish Prem,Rangers
2267,Ersin Destanoğlu,73,GK,,23,Turkey,Trendyol Süper Lig,Beşiktaş
2268,Habib Diarra,73,CM,"CDM, LM",20,Senegal,Ligue 1 McDonald's,Strasbourg
2269,Bebé,73,LM,"RM, LW",34,Cape Verde Islands,LALIGA HYPERMOTION,Racing de Ferrol
2270,Sinaly Diomandé,73,CB,,23,Côte d'Ivoire,Ligue 1 McDonald's,AJ Auxerre
2271,Matt Doherty,73,RB,RM,32,Republic of Ireland,Premier League,Wolves
2272,Nery Domínguez,73,CB,CDM,34,Argentina,Sudamericana,Lanús
2273,Cecilio Domínguez,73,LM,"LW, ST",30,Paraguay,Libertadores,Cerro Porteño
2274,Tomás Händel,73,CDM,CM,23,Portugal,Liga Portugal,Vitória SC
2275,Juninho Vieira,73,ST,LW,27,Brazil,Liga Azerbaijan,Qarabağ FK
2276,Fernando,73,ST,,25,Brazil,Ö. Bundesliga,RB Salzburg
2277,Carlos Miguel,73,GK,,25,Brazil,Premier League,Nott'm Forest
2278,Kamory Doumbia,73,CAM,CM,21,Mali,Ligue 1 McDonald's,Stade Brestois 29
2279,Patrick Drewes,73,GK,,31,Germany,Bundesliga,VfL Bochum 1848
2280,Joël Drommel,73,GK,,27,Holland,Eredivisie,PSV
2281,Shane Duffy,73,CB,,32,Republic of Ireland,EFL Championship,Norwich
2282,Noë Dussenne,73,CB,,32,Belgium,CSSL,Lausanne-Sport
2283,Sampson Dweh,73,CB,,22,Liberia,Česká Liga,Viktoria Plzeň
2284,Youssef El Arabi,73,ST,,37,Morocco,Liga Cyprus,APOEL FC
2285,Omar El Hilali,73,RB,CB,21,Morocco,LALIGA EA SPORTS,RCD Espanyol
2286,Mohamed Elyounoussi,73,LW,"RW, CM, LM",30,Norway,3F Superliga,F.C. København
2287,Emanuel Emegha,73,ST,,21,Holland,Ligue 1 McDonald's,Strasbourg
2288,Julio César Enciso,73,CAM,"LM, RM",20,Paraguay,Premier League,Brighton
2289,Samuel Essende,73,ST,,26,France,Bundesliga,FC Augsburg
2290,Kiko Femenía,73,RB,RM,33,Spain,LALIGA EA SPORTS,Villarreal CF
2291,Roger Fernandes,73,LM,"RM, LW",18,Portugal,Liga Portugal,SC Braga
2292,Edimilson Fernandes,73,CB,RB,28,Switzerland,Ligue 1 McDonald's,Stade Brestois 29
2293,Federico Fernández,73,CB,,35,Argentina,Libertadores,Estudiantes
2294,Ezequiel Fernández,73,CDM,CM,22,Argentina,ROSHN Saudi League,Al Qadisiyah
2295,Nicolás Fernández,73,CM,"CDM, RM",26,Uruguay,Primera División,Godoy Cruz
2296,Carlos Fernández,73,ST,,28,Spain,LALIGA HYPERMOTION,Cádiz CF
2297,Andrés Fernández,73,GK,,37,Spain,LALIGA HYPERMOTION,Levante UD
2298,Junior Firpo,73,LB,,28,Dominican Republic,EFL Championship,Leeds United
2299,Wes Foderingham,73,GK,,33,England,Premier League,West Ham
2300,Thomas Foket,73,RB,,29,Belgium,1A Pro League,RSC Anderlecht
2301,Fraser Forster,73,GK,,36,England,Premier League,Spurs
2302,Francés,73,CB,,22,Spain,LALIGA EA SPORTS,Girona FC
2303,Nicolás Freire,73,CB,,30,Argentina,MLS,Inter Miami CF
2304,Fresneda,73,RB,"CB, LB",19,Spain,Liga Portugal,Sporting CP
2305,Marvin Friedrich,73,CB,,28,Germany,Bundesliga,M'gladbach
2306,Kanya Fujimoto,73,CAM,,25,Japan,Liga Portugal,Gil Vicente
2307,Manu Fuster,73,LM,"RM, CM, LW",26,Spain,LALIGA EA SPORTS,UD Las Palmas
2308,Gianluca Gaetano,73,CAM,CM,24,Italy,Serie A Enilive,Cagliari
2309,Gauthier Gallon,73,GK,,31,France,Ligue 1 McDonald's,Stade Rennais FC
2310,Javier García,73,GK,,37,Argentina,Sudamericana,Boca Juniors
2311,Federico Gattoni,73,CB,,25,Argentina,Libertadores,River Plate
2312,Valentin Gendrey,73,RB,,24,France,Bundesliga,TSG Hoffenheim
2313,Abdulrahman Ghareeb,73,LM,LW,27,Saudi Arabia,ROSHN Saudi League,Al Nassr
2314,Faouzi Ghoulam,73,LB,CB,33,Algeria,Trendyol Süper Lig,Hatayspor
2315,Ryan Giles,73,LB,,24,England,EFL Championship,Hull City
2316,Benedikt Gimber,73,CB,CDM,27,Germany,Bundesliga,Heidenheim
2317,Sergi Gómez,73,CB,,32,Spain,LALIGA EA SPORTS,RCD Espanyol
2318,Fábio Abreu,73,ST,,31,Angola,CSL,Beijing FC
2319,Pedro Malheiro,73,RB,,23,Portugal,Trendyol Süper Lig,Trabzonspor
2320,Derlis González,73,ST,"LM, RM",30,Paraguay,Sudamericana,Olimpia
2321,Francisco González Metilli,73,CAM,"CM, RM",27,Argentina,Sudamericana,Belgrano
2322,Lucas Gourna-Douath,73,CDM,CM,21,France,Ö. Bundesliga,RB Salzburg
2323,José Gragera,73,CDM,"CM, CB",24,Spain,LALIGA EA SPORTS,RCD Espanyol
2324,Archie Gray,73,CDM,RB,18,England,Premier League,Spurs
2325,Ivo Grbić,73,GK,,28,Croatia,EFL Championship,Sheffield Utd
2326,Ilia Gruev,73,CDM,CM,24,Bulgaria,EFL Championship,Leeds United
2327,Hugo Guillamón,73,CDM,"CM, CB",24,Spain,LALIGA EA SPORTS,Valencia CF
2328,Manuel Gulde,73,CB,,33,Germany,Bundesliga,SC Freiburg
2329,Gumbau,73,CM,"CDM, RM",29,Spain,LALIGA EA SPORTS,Rayo Vallecano
2330,Günay Güvenç,73,GK,,33,Turkey,Trendyol Süper Lig,Galatasaray
2331,Lewis Hall,73,LB,,20,England,Premier League,Newcastle Utd
2332,Tarek Hamed,73,CDM,CM,35,Egypt,ROSHN Saudi League,Damac FC
2333,Abdou Harroui,73,CM,CDM,26,Morocco,Serie A Enilive,Hellas Verona
2334,Jorrel Hato,73,CB,LB,18,Holland,Eredivisie,Ajax
2335,Lukáš Hejda,73,CB,,34,Czech Republic,Česká Liga,Viktoria Plzeň
2336,Junior Hernández,73,LB,,25,Colombia,Sudamericana,Deportes Tolima
2337,Yeremay,73,LW,"LM, RW",21,Spain,LALIGA HYPERMOTION,RC Deportivo
2338,Wesley Hoedt,73,CB,,30,Holland,ROSHN Saudi League,Al Shabab
2339,Philipp Hofmann,73,ST,,31,Germany,Bundesliga,VfL Bochum 1848
2340,Casper Højer,73,LB,,29,Denmark,Trendyol Süper Lig,Çaykur Rizespor
2341,Rob Holding,73,CB,,28,England,Premier League,Crystal Palace
2342,Lucas Höler,73,ST,CAM,30,Germany,Bundesliga,SC Freiburg
2343,Tomi Horvat,73,CAM,CM,25,Slovenia,Ö. Bundesliga,SK Sturm Graz
2344,Trai Hume,73,RB,LB,22,Northern Ireland,EFL Championship,Sunderland
2345,Adam Idah,73,ST,,23,Republic of Ireland,Scottish Prem,Celtic
2346,Samuel Iling-Junior,73,LM,LW,20,England,Serie A Enilive,Bologna
2347,Marcus Ingvartsen,73,ST,CAM,28,Denmark,3F Superliga,FC Nordsjælland
2348,Cedric Itten,73,ST,,27,Switzerland,CSSL,BSC Young Boys
2349,Pontus Jansson,73,CB,,33,Sweden,Allsvenskan,Malmö FF
2350,Ardon Jashari,73,CDM,CM,22,Switzerland,1A Pro League,Club Brugge
2351,Fali,73,CB,CDM,31,Spain,LALIGA HYPERMOTION,Cádiz CF
2352,Ben Johnson,73,RB,LB,24,England,Premier League,Ipswich
2353,Paul Joly,73,RB,,24,France,Ligue 1 McDonald's,AJ Auxerre
2354,Erik,73,LB,,23,Brazil,United Emirates League,Al Ain FC
2355,Dejan Joveljić,73,ST,,25,Serbia,MLS,LA Galaxy
2356,Christopher Jullien,73,CB,,31,France,Ligue 1 McDonald's,Montpellier
2357,Anthony Jung,73,CB,LB,32,Germany,Bundesliga,SV Werder Bremen
2358,Matěj Jurásek,73,RW,"LW, RM",21,Czech Republic,Česká Liga,Slavia Praha
2359,David Jurásek,73,LB,LM,24,Czech Republic,Bundesliga,TSG Hoffenheim
2360,Julian Justvan,73,RM,"CAM, LM, RW",26,Germany,Bundesliga 2,1. FC Nürnberg
2361,Issa Kaboré,73,RB,,23,Burkina Faso,Liga Portugal,SL Benfica
2362,Hassane Kamara,73,LB,LM,30,Côte d'Ivoire,Serie A Enilive,Udinese
2363,Jakub Kamiński,73,LM,LW,22,Poland,Bundesliga,VfL Wolfsburg
2364,Kenan Karaman,73,CAM,ST,30,Turkey,Bundesliga 2,FC Schalke 04
2365,Grigoris Kastanos,73,CAM,"CM, RM",26,Cyprus,Serie A Enilive,Hellas Verona
2366,Joris Kayembe,73,LB,"LM, CB",30,Congo DR,1A Pro League,KRC Genk
2367,Ilan Kebbal,73,CAM,RM,26,Algeria,Ligue 2 BKT,Paris FC
2368,Tomasz Kędziora,73,CB,RB,30,Poland,Hellas Liga,PAOK FC
2369,Reda Khadra,73,CAM,LM,23,Germany,Ligue 1 McDonald's,Stade de Reims
2370,Kim Seung Gyu,73,GK,,33,Korea Republic,ROSHN Saudi League,Al Shabab
2371,Maurits Kjaergaard,73,CM,,21,Denmark,Ö. Bundesliga,RB Salzburg
2372,Hervé Koffi,73,GK,,27,Burkina Faso,Ligue 1 McDonald's,RC Lens
2373,Luca Warrick Koleosho,73,LM,"RM, RW, LW",19,Italy,EFL Championship,Burnley
2374,Karim Konaté,73,ST,,20,Côte d'Ivoire,Ö. Bundesliga,RB Salzburg
2375,Rominigue Kouamé,73,CM,CDM,27,Mali,LALIGA HYPERMOTION,Cádiz CF
2376,Boubakar Kouyaté,73,CB,,27,Mali,Ligue 1 McDonald's,Montpellier
2377,Vladan Kovacević,73,GK,,26,Serbia,Liga Portugal,Sporting CP
2378,Emil Krafth,73,RB,CB,30,Sweden,Premier League,Newcastle Utd
2379,Elias Jelert,73,RB,LB,21,Denmark,Trendyol Süper Lig,Galatasaray
2380,Tim Krul,73,GK,,36,Holland,EFL Championship,Luton Town
2381,Nicolas Kühn,73,RW,RM,24,Germany,Scottish Prem,Celtic
2382,Bas Kuipers,73,LB,,30,Holland,Eredivisie,FC Twente
2383,Daniel-Kofi Kyereh,73,CAM,ST,28,Ghana,Bundesliga,SC Freiburg
2384,Nediljko Labrović,73,GK,,24,Croatia,Bundesliga,FC Augsburg
2385,Stefan Lainer,73,RB,RM,32,Austria,Bundesliga,M'gladbach
2386,Carlos Lampe,73,GK,,37,Bolivia,Libertadores,Bolívar
2387,Gianluca Lapadula,73,ST,,34,Peru,Serie A Enilive,Cagliari
2388,Julien Laporte,73,CB,,30,France,Ligue 2 BKT,FC Lorient
2389,Jacob Bruun Larsen,73,LM,"RM, ST, LW",25,Denmark,Bundesliga,TSG Hoffenheim
2390,Jens Stryger Larsen,73,RB,"LM, RM",33,Denmark,Allsvenskan,Malmö FF
2391,Latasa,73,ST,,23,Spain,LALIGA EA SPORTS,R. Valladolid CF
2392,Valentino Lazaro,73,LM,"RM, LW",28,Austria,Serie A Enilive,Torino
2393,Mathew Leckie,73,LM,"RM, CM, LW",33,Australia,A-League,Melbourne City
2394,Tomás Araújo,73,CB,,22,Portugal,Liga Portugal,SL Benfica
2395,Théo Leoni,73,CM,"CAM, CDM",24,Belgium,1A Pro League,RSC Anderlecht
2396,Johann Lepenant,73,CDM,CM,21,France,Ligue 1 McDonald's,FC Nantes
2397,Lukas Lerager,73,CM,,31,Denmark,3F Superliga,F.C. København
2398,Keane Lewis-Potter,73,LW,"ST, LM",23,England,Premier League,Brentford
2399,Mateusz Lis,73,GK,,27,Poland,Trendyol Süper Lig,Göztepe
2400,Tom Lockyer,73,CB,,29,Wales,EFL Championship,Luton Town
2401,Nicolás Lodeiro,73,CAM,"CM, RM",35,Uruguay,MLS,Orlando City
2402,Luciano Lollo,73,CB,,37,Argentina,Libertadores,Estudiantes
2403,Ivi López,73,CAM,,30,Spain,PKO BP Ekstraklasa,Raków
2404,Dion Lopy,73,CDM,CM,22,Senegal,LALIGA HYPERMOTION,UD Almería
2405,Nahuel Losada,73,GK,,31,Argentina,Sudamericana,Lanús
2406,Iker Losada,73,RM,"LM, CAM, RW",23,Spain,LALIGA EA SPORTS,Real Betis
2407,Jonas Lössl,73,GK,,35,Denmark,3F Superliga,FC Midtjylland
2408,Sandi Lovrič,73,CDM,CM,26,Slovenia,Serie A Enilive,Udinese
2409,Fabio Lucioni,73,CB,,36,Italy,Serie BKT,Palermo
2410,Jeison Lucumí,73,LM,"RM, LW",29,Colombia,Sudamericana,Deportes Tolima
2411,Gustav Ludwigson,73,LM,"LW, RW",30,Sweden,K League 1,Ulsan Hyundai
2412,Massimo Luongo,73,CDM,,31,Australia,Premier League,Ipswich
2413,Charalampos Lykogiannis,73,LB,LM,30,Greece,Serie A Enilive,Bologna
2414,Antoine Makoumbou,73,CDM,CM,26,Congo,Serie A Enilive,Cagliari
2415,Lennard Maloney,73,CDM,CM,24,United States,Bundesliga,Heidenheim
2416,Aleš Mandous,73,GK,,32,Czech Republic,Česká Liga,Slavia Praha
2417,Matías Mansilla,73,GK,,28,Argentina,Libertadores,Estudiantes
2418,Braydon Manu,73,RM,"ST, RW",27,Ghana,Eredivisie,PEC Zwolle
2419,Faitout Maouassa,73,LB,LM,26,France,1A Pro League,Club Brugge
2420,Roger Martí,73,ST,,33,Spain,LALIGA HYPERMOTION,Cádiz CF
2421,Juan Carlos,73,GK,,36,Spain,LALIGA EA SPORTS,Girona FC
2422,Emiliano Martínez,73,CDM,CM,25,Uruguay,3F Superliga,FC Midtjylland
2423,Roger Martínez,73,ST,LM,30,Colombia,Sudamericana,Racing Club
2424,Erhan Mašović,73,CB,CDM,25,Serbia,Bundesliga,VfL Bochum 1848
2425,Mata,73,ST,LM,35,Spain,LALIGA EA SPORTS,UD Las Palmas
2426,Magnus Mattsson,73,CAM,"CM, LW",25,Denmark,3F Superliga,F.C. København
2427,Luca Mazzitelli,73,CM,CDM,28,Italy,Serie A Enilive,Como
2428,Oli McBurnie,73,ST,,28,Scotland,LALIGA EA SPORTS,UD Las Palmas
2429,Gary Medel,73,CB,CDM,37,Chile,Sudamericana,Boca Juniors
2430,Björn Meijer,73,LB,LM,21,Holland,1A Pro League,Club Brugge
2431,Bamo Meïté,73,CB,,22,Côte d'Ivoire,Ligue 1 McDonald's,OM
2432,Santiago Mele,73,GK,,27,Uruguay,Libertadores,Junior
2433,Melero,73,CM,"CAM, CDM",30,Spain,LALIGA HYPERMOTION,UD Almería
2434,Lorenzo Melgarejo,73,ST,LM,34,Paraguay,Libertadores,Libertad
2435,Birger Meling,73,LB,,29,Norway,3F Superliga,F.C. København
2436,Jubal,73,CB,,31,Brazil,Ligue 1 McDonald's,AJ Auxerre
2437,João Mendes,73,LW,"CM, CAM, LM",29,Portugal,Liga Portugal,Vitória SC
2438,Batista Mendy,73,CDM,"CM, CB",24,France,Trendyol Süper Lig,Trabzonspor
2439,Alexandre Mendy,73,ST,,30,Guinea-Bissau,Ligue 2 BKT,SM Caen
2440,Max Meyer,73,CAM,CM,28,Germany,Liga Cyprus,APOEL FC
2441,Matt Miazga,73,CB,,29,United States,MLS,FC Cincinnati
2442,Fredrik Midtsjø,73,CM,CDM,31,Norway,Trendyol Süper Lig,Eyüpspor
2443,Salvador Agra,73,RM,"RB, LM, RW",32,Portugal,Liga Portugal,Boavista FC
2444,Pere Milla,73,ST,"LM, LB",31,Spain,LALIGA EA SPORTS,RCD Espanyol
